Hemibelideus lemuroides
Pseudocheirus peregrinus
Lasiorhinus krefftii
Lasiorhinus latifrons
Vombatus ursinus
Atelerix albiventris
Erinaceus amurensis
Erinaceus concolor
Erinaceus europaeus
Hemiechinus auritus
Paraechinus aethiopicus
Paraechinus hypomelas
Dendrohyrax arboreus
Procavia capensis
Lepus brachyurus
Lepus californicus
Lepus europaeus
Lepus timidus
Oryctolagus cuniculus
Sylvilagus audubonii
Sylvilagus floridanus
Sylvilagus nuttallii
Sylvilagus palustris
Sylvilagus transitionalis
Ochotona hyperborea
Ochotona princeps
Elephantulus intufi
Elephantulus rozeti
Elephantulus rufescens
Macroscelides proboscideus
Rhynchocyon chrysopygus
Ornithorhynchus anatinus
Tachyglossus aculeatus
Zaglossus bruijni
Echymipera rufescens
Isoodon auratus
Isoodon macrourus
Isoodon obesulus
Perameles bougainville
Perameles gunnii
Perameles nasuta
Peroryctes raffrayana
Macrotis lagotis
Equus asinus
Equus caballus
Equus grevyi
Equus hemionus
Equus kiang
Equus quagga
Equus zebra
Ceratotherium simum
Dicerorhinus sumatrensis
Diceros bicornis
Rhinoceros unicornis
Acrocodia indica
Tapirella bairdii
Tapirus pinchaque
Tapirus terrestris
Choloepus didactylus
Choloepus hoffmanni
Myrmecophaga tridactyla
Tamandua mexicana
Tamandua tetradactyla
Aotus azarae
Aotus lemurinus
Aotus trivirgatus
Aotus vociferans
Alouatta caraya
Alouatta palliata
Alouatta seniculus
Ateles belzebuth
Ateles chamek
Ateles fusciceps
Ateles geoffroyi
Ateles marginatus
Ateles paniscus
Brachyteles arachnoides
Lagothrix lagothricha
Callimico goeldii
Callithrix geoffroyi
Callithrix jacchus
Callithrix kuhlii
Callithrix penicillata
Cebuella pygmaea
Leontocebus fuscicollis
Leontocebus nigricollis
Leontopithecus chrysomelas
Leontopithecus chrysopygus
Leontopithecus rosalia
Mico argentatus
Mico humeralifer
Saguinus bicolor
Saguinus geoffroyi
Saguinus imperator
Saguinus labiatus
Saguinus leucopus
Saguinus midas
Saguinus mystax
Saguinus oedipus
Cebus albifrons
Cebus capucinus
Cebus olivaceus
Saimiri boliviensis
Saimiri sciureus
Sapajus apella
Allenopithecus nigroviridis
Allochrocebus lhoesti
Allochrocebus preussi
Cercocebus agilis
Cercocebus torquatus
Cercopithecus ascanius
Cercopithecus campbelli
Cercopithecus cephus
Cercopithecus diana
Cercopithecus erythrogaster
Cercopithecus hamlyni
Cercopithecus mitis
Cercopithecus mona
Cercopithecus neglectus
Cercopithecus nictitans
Cercopithecus petaurista
Cercopithecus pogonias
Cercopithecus wolfi
Chlorocebus aethiops
Colobus angolensis
Colobus guereza
Colobus polykomos
Erythrocebus patas
Lophocebus albigena
Macaca arctoides
Macaca assamensis
Macaca fascicularis
Macaca fuscata
Macaca maura
Macaca mulatta
Macaca nemestrina
Macaca nigra
Macaca ochreata
Macaca radiata
Macaca silenus
Macaca sinica
Macaca sylvanus
Macaca thibetana
Macaca tonkeana
Mandrillus leucophaeus
Mandrillus sphinx
Miopithecus talapoin
Nasalis larvatus
Papio hamadryas
Presbytis melalophos
Pygathrix nemaeus
